variable,Logistic Regression (abs coef sum),Random Forest (importance sum),Gradient Boosting (importance sum),LR_rank,RF_rank,GB_rank
CCC_80,0.9237089168562238,0.2872183340209533,0.4472655899136026,3,1,1
DHHGAGE,4.302297713049761,0.2552576140464241,0.24878764208802528,1,2,2
CCC_90,0.8995432627536022,0.22717074964733208,0.18676497600072345,4,3,3
BMI_CLASS,0.8248443320652811,0.07946589882877435,0.05836318422807385,5,4,4
GEOGPRV,1.893472831453355,0.04128657161885221,0.01451589255178641,2,5,6
INCDGHH,0.3740366880615421,0.039404564783201756,0.013855306260346093,6,6,7
EDDVH3,0.27320813568663127,0.029520585147313216,0.006678124653821679,9,7,8
DHH_SEX,0.3400978469401922,0.02668530378634274,0.018590264689369286,7,8,5
SDCDGIMM,0.29322873722576626,0.013990378120806241,0.00517901961425132,8,9,9
