model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,train_log_loss,validation_log_loss,test_log_loss,true_negatives,false_positives,false_negatives,true_positives,validation_f1,config
Logistic Regression,0.6799999999999997,0.8252698316854102,0.26903973509933776,0.5421184320266889,0.359612724757953,0.8138013697444966,0.2885664646549857,0.5304689968640631,0.5342682655378118,0.528070707185842,10284,1766,549,650,0.3678321678321678,class_weight=balanced
Random Forest,0.6799999999999997,0.8398369688278361,0.2805515929624346,0.4920767306088407,0.35735917625681407,0.811373897334916,0.2759551432631519,0.4941190514978819,0.5103289733691391,0.5058056652079396,10537,1513,609,590,0.3716344330678802,"n_estimators=200, max_depth=10"
Gradient Boosting,0.6999999999999997,0.8402143558004378,0.2849109653233365,0.5070892410341952,0.36483648364836485,0.8151709065992061,0.28579906964820395,0.5201997477876676,0.526880774418102,0.5202396043241682,10524,1526,591,608,0.3677467972871138,"n_estimators=200, learning_rate=0.05"
